	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0
0	0.907	0.904	0.904	0.901	0.905	0.909	0.908	0.908	0.903	0.91	0.895	0.909	0.915
1	0.895	0.893	0.894	0.899	0.898	0.898	0.902	0.905	0.904	0.887	0.898	0.91	0.911
2	0.878	0.877	0.873	0.878	0.888	0.893	0.889	0.896	0.894	0.874	0.862	0.862	0.9
3	0.913	0.907	0.896	0.909	0.906	0.916	0.91	0.921	0.917	0.916	0.916	0.922	0.919
4	0.899	0.89	0.896	0.898	0.895	0.895	0.897	0.897	0.902	0.904	0.907	0.901	0.904
5	0.903	0.903	0.909	0.907	0.911	0.904	0.908	0.907	0.916	0.922	0.924	0.921	0.923
6	0.902	0.902	0.905	0.902	0.904	0.905	0.903	0.906	0.903	0.906	0.906	0.904	0.907
7	0.903	0.899	0.905	0.904	0.908	0.912	0.909	0.912	0.917	0.921	0.921	0.918	0.914
8	0.908	0.91	0.91	0.907	0.9	0.906	0.908	0.911	0.916	0.915	0.915	0.9	0.918
9	0.88	0.883	0.88	0.887	0.883	0.888	0.889	0.89	0.887	0.888	0.874	0.899	0.896
